Defaulted container "hyrax-worker" out of: hyrax-worker, db-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: true
Started: Thu May 28 16:24:35 UTC 2026
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/125_20230109185255/ (1.9 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/125_20230109185255_134/ (1.8 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/125_20230109185255_165/ (1.8 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/125_20230109185255_166/ (1.8 MB, 1235d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/126_20230125134128/ (1.8 MB, 1219d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/127_20230125214721/ (127.4 KB, 1219d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/128_20230126141457/ (7.4 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/128_20230126141457_170/ (7.4 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/128_20230126141457_171/ (7.4 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/128_20230126141457_172/ (7.4 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/129_20230126143339/ (15.8 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/129_20230126143339_174/ (15.6 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/129_20230126143339_175/ (15.8 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/129_20230126143339_176/ (15.6 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/12_20221209125510/ (498.4 KB, 1266d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/130_20230126172600/ (8.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/130_20230126172600_179/ (8.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/130_20230126172600_180/ (8.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/130_20230126172600_181/ (8.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/131_20230126174224/ (13.2 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/131_20230126174224_183/ (13.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/131_20230126174224_184/ (13.2 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/131_20230126174224_185/ (13.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/132_20230126192656/ (16.9 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/133_20230126201412/ (20.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/133_20230126201412_188/ (21.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/133_20230126201412_189/ (20.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/134_20230126205625/ (18.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/134_20230126205625_193/ (17.9 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/134_20230126205625_194/ (18.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/134_20230126205625_195/ (17.9 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/135_20230126211539/ (7.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/135_20230126211539_197/ (7.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/135_20230126211539_198/ (7.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/135_20230126211539_199/ (7.1 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/136_20230126212324/ (10.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/136_20230126212324_201/ (10.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/136_20230126212324_202/ (10.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/136_20230126212324_203/ (10.7 KB, 1218d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/137_20230127132453/ (32.6 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/137_20230127132453_205/ (32.1 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/137_20230127132453_206/ (32.6 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/137_20230127132453_207/ (32.1 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/138_20230127151226/ (11.4 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/138_20230127151226_210/ (11.3 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/138_20230127151226_211/ (11.2 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/138_20230127151226_212/ (11.3 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/139_20230127160349/ (392.6 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/13_20221209185657/ (361.6 KB, 1266d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/140_20230127171406/ (16.0 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/140_20230127171406_215/ (15.9 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/140_20230127171406_216/ (16.0 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/140_20230127171406_217/ (15.9 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/141_20230127180507/ (19.0 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/141_20230127180507_219/ (18.8 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/141_20230127180507_220/ (19.0 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/141_20230127180507_221/ (18.8 KB, 1217d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/142_20230128162238/ (21.6 KB, 1216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/142_20230128162238_223/ (21.4 KB, 1216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/142_20230128162238_224/ (21.6 KB, 1216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/142_20230128162238_225/ (21.4 KB, 1216d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/143_20230129155834/ (42.0 KB, 1215d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/dc/143_20230129155834_227/ (41.4 KB, 1215d old)
